cell_type	gene	counts	avg	Freq	perc_expr
cDC	HLA-DQA1	31	2.9651857056925373	31	1
Mono/Mφ	HLA-DQA1	396	-0.31839384379410984	396	1
CD4+ Tconv	HLA-DQA1	1876	-3.1689702642879	1876	1
NK	HLA-DQA1	247	-2.913064906712968	247	1
Neutrophil	HLA-DQA1	403	-3.321928024291992	403	1
CD8+ Teff	HLA-DQA1	120	-2.315290958682696	120	1
B cell	HLA-DQA1	353	2.7497151097224726	353	1
pDC	HLA-DQA1	78	0.3024672927000584	78	1
CD4+ Treg	HLA-DQA1	275	-2.6761388949914413	275	1
CD8+ Texh	HLA-DQA1	50	-1.3890065610408784	50	1
Mast	HLA-DQA1	20	-3.016955304145813	20	1
Plasma cell	HLA-DQA1	9	-1.5727276934517755	9	1
Tgd	HLA-DQA2	733	-2.6381012734742315	733	1
CD8+ Tmem	HLA-DQA2	1547	-2.7993293762515266	1547	1
cDC	HLA-DQA2	31	0.8739949195615707	31	1
Mono/Mφ	HLA-DQA2	396	-2.2624874758449467	396	1
CD4+ Tconv	HLA-DQA2	1876	-3.0777082126786204	1876	1
NK	HLA-DQA2	247	-3.0778918382127274	247	1
Neutrophil	HLA-DQA2	403	-3.321928024291992	403	1
CD8+ Teff	HLA-DQA2	120	-1.9324021726846694	120	1
B cell	HLA-DQA2	353	1.471681849814677	353	1
pDC	HLA-DQA2	78	-0.27804723916909635	78	1
CD4+ Treg	HLA-DQA2	275	-3.113062708377838	275	1
CD8+ Texh	HLA-DQA2	50	-1.3800921618938446	50	1
Mast	HLA-DQA2	20	-3.321928024291992	20	1
Plasma cell	HLA-DQA2	9	-2.8297428290049234	9	1
Tgd	HLA-DQB1	733	-2.8894627151190013	733	1
CD8+ Tmem	HLA-DQB1	1547	-1.4193335229069783	1547	1
cDC	HLA-DQB1	31	4.181100095472028	31	1
Mono/Mφ	HLA-DQB1	396	0.62779106824386	396	1
CD4+ Tconv	HLA-DQB1	1876	-2.720693790550425	1876	1
NK	HLA-DQB1	247	-2.379022049035138	247	1
Neutrophil	HLA-DQB1	403	-3.163960360415816	403	1
CD8+ Teff	HLA-DQB1	120	-1.8949189285437267	120	1
B cell	HLA-DQB1	353	4.244281731989161	353	1
pDC	HLA-DQB1	78	1.5558119997000084	78	1
CD4+ Treg	HLA-DQB1	275	-1.8544413453882391	275	1
CD8+ Texh	HLA-DQB1	50	-0.9805906248092652	50	1
Mast	HLA-DQB1	20	-2.7586761236190798	20	1
Plasma cell	HLA-DQB1	9	-1.336265418264601	9	1
Tgd	HLA-DQB2	733	-3.321928024291992	733	1
CD8+ Tmem	HLA-DQB2	1547	-3.315118340422588	1547	1
cDC	HLA-DQB2	31	-1.7440829680811973	31	1
Mono/Mφ	HLA-DQB2	396	-3.189579363573681	396	1
CD4+ Tconv	HLA-DQB2	1876	-3.307519589151655	1876	1
NK	HLA-DQB2	247	-3.321928024291992	247	1
Neutrophil	HLA-DQB2	403	-3.321928024291992	403	1
CD8+ Teff	HLA-DQB2	120	-3.2752941250801086	120	1
B cell	HLA-DQB2	353	-3.024931455131293	353	1
pDC	HLA-DQB2	78	-3.144312092891106	78	1
CD4+ Treg	HLA-DQB2	275	-3.302085278250954	275	1
CD8+ Texh	HLA-DQB2	50	-3.1429472506046294	50	1
Mast	HLA-DQB2	20	-3.321928024291992	20	1
Plasma cell	HLA-DQB2	9	-3.321928024291992	9	1
Tgd	HLA-DRA	733	-0.5516982691675059	733	1
CD8+ Tmem	HLA-DRA	1547	-0.26639756577663753	1547	1
cDC	HLA-DRA	31	6.771528474746212	31	1
Mono/Mφ	HLA-DRA	396	4.43929152205737	396	1
CD4+ Tconv	HLA-DRA	1876	-2.062341134717215	1876	1
NK	HLA-DRA	247	-2.0717668115851366	247	1
Neutrophil	HLA-DRA	403	-2.623888173115165	403	1
CD8+ Teff	HLA-DRA	120	-1.826704841852188	120	1
B cell	HLA-DRA	353	6.879530731071494	353	1
pDC	HLA-DRA	78	5.368009423598265	78	1
CD4+ Treg	HLA-DRA	275	-1.6134567789597944	275	1
CD8+ Texh	HLA-DRA	50	1.4487529349327088	50	1
Mast	HLA-DRA	20	-2.370953893661499	20	1
Plasma cell	HLA-DRA	9	0.6412304374906752	9	1
Tgd	HLA-DRB1	733	-1.3723095546477813	733	1
CD8+ Tmem	HLA-DRB1	1547	-0.08390299389265242	1547	1
cDC	HLA-DRB1	31	5.177048164029276	31	1
Mono/Mφ	HLA-DRB1	396	1.7019741146853475	396	1
CD4+ Tconv	HLA-DRB1	1876	-2.0086470059494475	1876	1
NK	HLA-DRB1	247	-1.6440533788098015	247	1
Neutrophil	HLA-DRB1	403	-3.2428602462370995	403	1
CD8+ Teff	HLA-DRB1	120	-1.5648731420437494	120	1
B cell	HLA-DRB1	353	2.5169182127663503	353	1
pDC	HLA-DRB1	78	3.4879923325318556	78	1
CD4+ Treg	HLA-DRB1	275	-0.8658957095579668	275	1
CD8+ Texh	HLA-DRB1	50	0.5733692014217376	50	1
Mast	HLA-DRB1	20	-2.00903342962265	20	1
Plasma cell	HLA-DRB1	9	-1.8505059878031414	9	1
Tgd	HLA-DRB5	733	-3.057339004572547	733	1
CD8+ Tmem	HLA-DRB5	1547	-2.500054039759411	1547	1
cDC	HLA-DRB5	31	1.110494440601718	31	1
Mono/Mφ	HLA-DRB5	396	-1.55381586199457	396	1
CD4+ Tconv	HLA-DRB5	1876	-3.137587872522472	1876	1
NK	HLA-DRB5	247	-2.6838113233628063	247	1
Neutrophil	HLA-DRB5	403	-3.3047110111482683	403	1
CD8+ Teff	HLA-DRB5	120	-3.0702877014875414	120	1
B cell	HLA-DRB5	353	-1.5052746324971444	353	1
pDC	HLA-DRB5	78	-0.6283079309341235	78	1
CD4+ Treg	HLA-DRB5	275	-2.7284564700993625	275	1
CD8+ Texh	HLA-DRB5	50	-1.6985781407356262	50	1
Mast	HLA-DRB5	20	-2.709204065799713	20	1
Plasma cell	HLA-DRB5	9	-1.1724045144187079	9	1
Tgd	HMGB1	733	3.0110765796403767	733	1
CD8+ Tmem	HMGB1	1547	2.6056971421300323	1547	1
cDC	HMGB1	31	2.0719864541484463	31	1
Mono/Mφ	HMGB1	396	0.0751670224196983	396	1
CD4+ Tconv	HMGB1	1876	2.5043050967045684	1876	1
NK	HMGB1	247	2.435730154215083	247	1
Neutrophil	HMGB1	403	-1.3560590489626523	403	1
CD8+ Teff	HMGB1	120	2.568686819076538	120	1
